k,t1,t2,epsilon_L,bias,variance,R,M,h_inverse,N,cost
1,3e-05,0.01776,0.88057,-0.221774,0.72622,3,2,1,398,571.127
2,1.2e-05,0.103595,1.20107,1.18599,0.0359799,3,3,1,1831,3294.58
3,1.2e-05,0.407095,1.21676,1.21202,0.0115139,3,3,1,7326,13181.9
4,1.3e-05,1.02971,0.539057,0.510808,0.0296584,4,2,2,20072,64770.3
5,1.7e-05,8.84652,1.33099,1.32973,0.00335235,5,2,1,152023,304115
6,2.8e-05,39.3752,1.32923,1.3289,0.000863799,5,2,1,608095,1.21647e+06
7,2.4e-05,147.191,1.33,1.32992,0.000211958,5,2,1,2432381,4.86587e+06
8,2.1e-05,683.574,1.33054,1.33052,5.72244e-05,5,2,1,9729524,1.94635e+07
9,4.5e-05,2858.35,1.81485,1.81485,4.16357e-06,6,2,1,45042735,1.03761e+08
